id,stem,choices,correctKey,rationale,module,topic,skillArea,sourceType,locale,published,sourcePdf,solutionPdf,itemIndex
bank-cielene-1-t1-01-45230188b3,"Matúš vyhral cestu po Európe. Páči sa mu Bratislava, nepáčia Benátky. Páči sa mu Krakov, nepáči Kyjev. Páčia sa mu Antverpy, nepáči Amsterdam. Páči sa mu Budapešť?",A. Radšej by šiel do Prahy|B. Nie|C. Áno|D. Možno,C,"Obľúbené – Bratislava, Krakov, Antverpy majú párny počet písmen, ostatné nepárny. Budapešť má 8 písmen, preto sa Matúšovi páči.",M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,1
bank-exam-x5-t1-01-4d08a57411,"Pokúste sa odhadnúť, odkiaľ môže pochádzať nasledujúca poľská veta: Na szczęście trzęsienie ziemi nie pochłonęło ofiar, nie ma także doniesień o większych zniszczeniach.",A. zo školského poriadku|B. z novinovej správy|C. z reklamy na nábytok|D. z kuchárskeho receptu,B,"Indície: trzęsienie ziemi - zemetrasenie, zniszczeniach – zničenie. Úryvok sa teda pravdepodobne týka novinovej správy o zemetrasení.",M1,T1,VJS,bank,sk,true,1_VJSJP8_Test_X5_Exam-vhpcld.pdf,1_VSJP8_Test_X5_Exam_Riesenie-qaqtdt.pdf,1
bank-t1-01-e2e72873f9,"Ktorú dvojicu slov možno doplniť na vynechané miesta tak, aby vznikol zmysluplný text? Sir Isaac Newton je jednou z najväčších postáv v dejinách ľudského _______ a od neho sa vlastne počíta fyzika ako novodobá veda. Nadviazal na výsledky svojich ______ – Galileiho, Keplera, Descarta a ďalších.",A. žitia – kamarátov|B. počítania – kolegov|C. filozofovania – obdivovateľov|D. poznania – predchodcov,D,"poznania – predchodcov (ľudské poznanie/nadviazať na predchodcov – táto možnosť nám ako jediná ponúka správne vyjadrenie v danom kontexte ; slovo kamarát sa v takomto texte vyskytne zriedkakedy, ľudské počítanie nie je ustálené spojenie, na výsledky obdivovateľov sa nedá nadviazať )",M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,1
bank-cielene-1-t1-02-e83e3cc368,V grafe je znázornený stav a vývoj vybraných faktorov týkajúcich sa pandémie COVID - 19 na Slovensku. Ktoré z uvedených tvrdení je určite pravdivé? (Zdroj: Dáta bez pátosu),A. Najvyšší podiel pozitívnych bol dosiahnutý 16.3.2021|B. Počet hospitalizovaných mal od 14.3. do 17.3. klesajúcu tendenciu|C. Priemerný počet denných úmrtí za obdobie 11. – 13.3.2021 je vyšší ako priemerný počet denných úmrtí za obdobie 14.3. – 17.3.2021|D. Počet pozitívnych bol vyšší ako počet testovaných dňa 13.3.2021,C,"úmrtia za interval (aj vizuálne vidno, že úmrtia klesali)",M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,2
bank-exam-x5-t1-02-f12476e7b7,"Prečítajte si krátky text v jazyku Interlingua: Ille esseva fundate in 1207 e ha obtenite statut de citate in 1880. Il es tle quatroe plus grande citate in le Regno Unite e ha un population de 435 500, e es a le centro del largo Liverpool Urban Area, que ha un population de 816 216. Le popularitate de The Beatles e le altere gruposs del genere musica beat de Mersey contribute a le Liverpool statut como un destination de tourism, tourism forma un parte significante del economia modern del citate. Aj keď tento jazyk pravdepodobne neovládate, pokúste sa odhadnúť, o čom text hovorí.",A. O zaujímavostiach mesta Liverpool|B. O úspechoch The Beatles|C. O vývoji ekonomiky v anglických mestách|D. O dejinách anglickej hudobnej scény,A,"Všímame si kľúčové slová, ktorým rozumieme: úvod hovorí o založení mesta (fundate1207 – založené v roku 1207, statut de citate – štatút mesta). Text ďalej hovorí o počte obyvateľov Liverpoolu i celej aglomerácie (Liverpool Urban Area). Síce sa spomína Beatles, ale najmä to, že prispela k štatútu turistickej destinácie mesta Liverpool.",M1,T1,VJS,bank,sk,true,1_VJSJP8_Test_X5_Exam-vhpcld.pdf,1_VSJP8_Test_X5_Exam_Riesenie-qaqtdt.pdf,2
bank-t1-02-4f666679d6,"Ktorú dvojicu slov možno doplniť na vynechané miesta tak, aby vznikol zmysluplný text? Aj zajtra nás čaká podobné počasie, ako bolo dnes. Ak sa vyskytnú _____, tak iba v horských oblastiach a to vo forme prehánok alebo ojedinelých _____. Stále však bude pršať nad Balkánom a zajtra aj nad západom Európy.",A. lúče – mrazov|B. zrážky – búrok|C. dažde – vetrov|D. mrazy – tornád,B,zrážky – búrok (zrážky sa vyskytujú vo forme búrok),M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,2
bank-cielene-1-t1-03-b4064188e2,"skupina – Mexiko, Portugalsko, USA,... Ktoré z nasledujúcich slov je zaradené do nesprávnej skupiny?",A. Švajčiarsko – 2. skupina|B. Brazília – 2. skupina|C. Taliansko – 1. skupina|D. India – 3. skupina,D,BY nie je bratislavská ŠPZ.,M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,3
bank-exam-x5-t1-03-44abf0a394,Zo štyroch podstatných mien sme vynechali všetky samohlásky. V troch prípadoch išlo o tú istú trojicu samohlások. Z ktorého slova sme vynechali inú trojicu samohlások ako zo zvyšných troch?,A. MTRK|B. HDNT|C. PNRK|D. BTRK,D,"Vybraná trojica je O – O – A. Vždy sa vo výbere snažíme najprv identifikovať slovo, ktoré je ľahko rozpoznateľné a následne skúšame, či daná trojica sedí do ostatných možností. A – motorka, B – hodnota, C - ponorka, D – baterka.",M1,T1,VJS,bank,sk,true,1_VJSJP8_Test_X5_Exam-vhpcld.pdf,1_VSJP8_Test_X5_Exam_Riesenie-qaqtdt.pdf,3
bank-t1-03-5200806fbc,"Ktorú dvojicu slov možno doplniť na vynechané miesta tak, aby vznikol zmysluplný text? Redakcia o letákoch zatiaľ síce ____, ale vzápätí po tom, ako ich dostala do rúk ich označila za jednoznačný ____.",A. nevedela – nezmysel|B. tušila – prípad|C. nereferovala – fakt|D. počula – trhák,A,nevedela – nezmysel (logické pokračovanie po „zatiaľ síce“ je „nevedieť“ ),M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,3
bank-cielene-1-t1-04-4557fa6487,Dvojica slov posteľ – spálňa je v rovnakom logickom vzťahu ako dvojica slov:,A. umývadlo – kúpeľňa|B. sprcha – vaňa|C. stôl – stolička|D. počítač – kuchyňa,A,"Posteľ sa nachádza v spálni, umývadlo v kúpeľni.",M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,4
