id,stem,choices,correctKey,rationale,module,topic,skillArea,sourceType,locale,published,templateId,seedRef,batchId
t5.lcm-gears.mcq-d6ba56415f,"Dve ozubené kolesá zapadajú navzájom do seba. Väčšie má 32 zubov, menšie 20 zubov. Koľkokrát sa otočí menšie koleso, aby do seba zapadali opäť tie isté zuby?",A. 8|B. 9|C. 20|D. 5,A,"NSN(32, 20) = 160; 160÷20 = 8 otočení menšieho kolesa.",M3,T5,VSP,synthetic,sk,false,t5.lcm-gears.mcq,t5-vzor-03-ozubene-kolesa,pilot-t5-synth-20260924
t5.lcm-gears.mcq-2f939bf522,"Dve ozubené kolesá zapadajú navzájom do seba. Väčšie má 30 zubov, menšie 12 zubov. Koľkokrát sa otočí menšie koleso, aby do seba zapadali opäť tie isté zuby?",A. 6|B. 12|C. 5|D. 2,C,"NSN(30, 12) = 60; 60÷12 = 5 otočení menšieho kolesa.",M3,T5,VSP,synthetic,sk,false,t5.lcm-gears.mcq,t5-vzor-03-ozubene-kolesa,pilot-t5-synth-20260924
t5.lcm-gears.mcq-106214994f,"Dve ozubené kolesá zapadajú navzájom do seba. Väčšie má 45 zubov, menšie 20 zubov. Koľkokrát sa otočí menšie koleso, aby do seba zapadali opäť tie isté zuby?",A. 9|B. 10|C. 4|D. 20,A,"NSN(45, 20) = 180; 180÷20 = 9 otočení menšieho kolesa.",M3,T5,VSP,synthetic,sk,false,t5.lcm-gears.mcq,t5-vzor-03-ozubene-kolesa,pilot-t5-synth-20260924
t5.lcm-gears.mcq-45d5e2db63,"Dve ozubené kolesá zapadajú navzájom do seba. Väčšie má 40 zubov, menšie 24 zubov. Koľkokrát sa otočí menšie koleso, aby do seba zapadali opäť tie isté zuby?",A. 5|B. 3|C. 6|D. 24,A,"NSN(40, 24) = 120; 120÷24 = 5 otočení menšieho kolesa.",M3,T5,VSP,synthetic,sk,false,t5.lcm-gears.mcq,t5-vzor-03-ozubene-kolesa,pilot-t5-synth-20260924
t5.lcm-gears.mcq-9da82dea88,"Dve ozubené kolesá zapadajú navzájom do seba. Väčšie má 54 zubov, menšie 36 zubov. Koľkokrát sa otočí menšie koleso, aby do seba zapadali opäť tie isté zuby?",A. 2|B. 4|C. 3|D. 36,C,"NSN(54, 36) = 108; 108÷36 = 3 otočení menšieho kolesa.",M3,T5,VSP,synthetic,sk,false,t5.lcm-gears.mcq,t5-vzor-03-ozubene-kolesa,pilot-t5-synth-20260924
t5.lcm-gears.mcq-76dadeeae0,"Dve ozubené kolesá zapadajú navzájom do seba. Väčšie má 48 zubov, menšie 18 zubov. Koľkokrát sa otočí menšie koleso, aby do seba zapadali opäť tie isté zuby?",A. 18|B. 8|C. 3|D. 9,B,"NSN(48, 18) = 144; 144÷18 = 8 otočení menšieho kolesa.",M3,T5,VSP,synthetic,sk,false,t5.lcm-gears.mcq,t5-vzor-03-ozubene-kolesa,pilot-t5-synth-20260924
t5.lcm-gears.mcq-82b2263ad2,"Dve ozubené kolesá zapadajú navzájom do seba. Väčšie má 60 zubov, menšie 36 zubov. Koľkokrát sa otočí menšie koleso, aby do seba zapadali opäť tie isté zuby?",A. 5|B. 36|C. 6|D. 3,A,"NSN(60, 36) = 180; 180÷36 = 5 otočení menšieho kolesa.",M3,T5,VSP,synthetic,sk,false,t5.lcm-gears.mcq,t5-vzor-03-ozubene-kolesa,pilot-t5-synth-20260924
t5.lcm-gears.mcq-6946f89023,"Dve ozubené kolesá zapadajú navzájom do seba. Väčšie má 63 zubov, menšie 21 zubov. Koľkokrát sa otočí menšie koleso, aby do seba zapadali opäť tie isté zuby?",A. 4|B. 1|C. 3|D. 21,C,"NSN(63, 21) = 63; 63÷21 = 3 otočení menšieho kolesa.",M3,T5,VSP,synthetic,sk,false,t5.lcm-gears.mcq,t5-vzor-03-ozubene-kolesa,pilot-t5-synth-20260924
t5.lcm-gears.mcq-dcd20ec509,"Dve ozubené kolesá zapadajú navzájom do seba. Väčšie má 33 zubov, menšie 22 zubov. Koľkokrát sa otočí menšie koleso, aby do seba zapadali opäť tie isté zuby?",A. 3|B. 4|C. 2|D. 22,A,"NSN(33, 22) = 66; 66÷22 = 3 otočení menšieho kolesa.",M3,T5,VSP,synthetic,sk,false,t5.lcm-gears.mcq,t5-vzor-03-ozubene-kolesa,pilot-t5-synth-20260924
t5.lcm-gears.mcq-625c5e6081,"Dve ozubené kolesá zapadajú navzájom do seba. Väčšie má 42 zubov, menšie 28 zubov. Koľkokrát sa otočí menšie koleso, aby do seba zapadali opäť tie isté zuby?",A. 4|B. 28|C. 3|D. 2,C,"NSN(42, 28) = 84; 84÷28 = 3 otočení menšieho kolesa.",M3,T5,VSP,synthetic,sk,false,t5.lcm-gears.mcq,t5-vzor-03-ozubene-kolesa,pilot-t5-synth-20260924
